State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
AS,Kamrup Metropolitan,1260419,0,0,0,0,1246239,875897
AS,Karbi Anglong,965280,0,0,0,0,284600,102798
AS,Karimganj,1217002,0,0,0,0,681216,203575
AS,Kokrajhar,886999,0,0,0,0,538901,156488
AS,Lakhimpur,1040644,0,0,0,0,681386,301369
AS,Majuli,167304,0,0,0,0,117599,82507
AS,Morigaon,957853,0,0,0,0,592446,212146
AS,Nagaon,2826006,0,0,0,0,1203831,448081
AS,Nalbari,769919,0,0,0,0,483076,168392
AS,Sivasagar,1150253,0,0,0,0,478954,223921
AS,Sonitpur,1925975,0,0,0,0,767841,434213
AS,South Salmara Mankachar,555114,0,0,0,0,239906,76599
AS,Tinsukia,1316948,0,0,0,0,795057,286170
AS,Udalguri,832769,0,0,0,24661,504439,133919
AS,West Karbi Anglong,300320,0,0,0,0,127612,42942
BR,Araria,2806200,14978,116,14859,219221,1177154,395227
BR,Arwal,700843,7381,74,7307,101624,345175,116424
BR,Aurangabad,2511243,20011,75,19936,412007,1132482,407913
BR,Banka,2029339,7379,112,7267,364776,935177,351254
BR,Begusarai,2954367,27212,457,26754,213670,1430906,480982
BR,Bhagalpur,3032226,25840,309,25531,582113,1494951,650332
BR,Bhojpur,2720155,10210,159,10051,466438,1291186,382719
BR,Buxar,1707643,9248,182,9066,461428,907374,322555
BR,Darbhanga,3921971,10937,370,10567,448442,1869372,741553
BR,East Champaran,5082868,19017,430,18585,548132,2498559,1002939
BR,Gaya,4379383,33952,280,33672,872359,1925234,722746
BR,Gopalganj,2558037,16685,94,16591,562654,1286763,481968
BR,Jamui,1756078,9418,106,9312,342005,800488,222093
BR,Jehanabad,1124176,10783,109,10674,492255,498448,184446
BR,Kaimur,1626900,4984,147,4837,442332,801438,225437
BR,Katihar,3068149,18145,94,18051,556438,1451838,403046
BR,Khagaria,1657599,10064,88,9976,148340,775019,222012
BR,Kishanganj,1690948,10128,66,10057,294321,757066,205274
BR,Lakhisarai,1000717,7776,102,7674,332434,461970,138407
BR,Madhepura,1994618,12547,111,12435,455482,965767,260408
BR,Madhubani,4476044,18365,339,18023,715168,1974159,680214
BR,Munger,1359054,15111,158,14953,325212,707588,264665
BR,Muzaffarpur,4778610,31398,621,30777,722651,2253919,717015
BR,Nalanda,2872523,23432,468,22964,591346,1393762,638181
BR,Nawada,2216653,10353,178,10174,322514,1062349,274319
BR,Patna,5772804,147007,2334,144651,676238,3421614,2366474
BR,Purnia,3273127,24427,180,24247,568756,1603099,729224
BR,Rohtas,2962593,13980,271,13707,521553,1498172,465660
BR,Saharsa,1897102,17616,134,17482,356327,995618,366567
BR,Samastipur,4254782,20020,155,19864,614569,1991102,555728
BR,Saran,3943098,23278,255,23020,761473,1868014,736766
BR,Sheikhpura,634927,7693,75,7618,142348,287209,95322
BR,Sheohar,656916,4404,36,4368,199431,300967,108766
BR,Sitamarhi,3419622,9185,127,9058,453227,1511464,424182
BR,Siwan,3318176,15195,170,15025,536438,1670590,684755
BR,Supaul,2228397,17222,129,17093,456511,1069993,369925
BR,Vaishali,3495021,19827,192,19632,275884,1671469,478638
BR,West Champaran,3935042,20890,358,20532,551778,1784016,469332
CH,Chandigarh,1055450,65351,820,64495,792851,926035,546981
CT,Balod,826165,27278,396,26880,2749,537459,271570
CT,Baloda Bazar,1305343,43085,471,42611,3816,617777,211945
CT,Balrampur,598855,20302,118,20182,21481,305554,112777
CT,Bametara,197035,19963,236,19726,3113,405388,132925
CT,Bastar,1302253,21066,188,20845,4522,443759,178775
CT,Bijapur,229832,8324,55,8263,1239,103247,44245
CT,Bilaspur,1961922,65681,1210,64448,9823,1031494,525066
CT,Dakshin Bastar Dantewada,533638,10840,25,10809,1168,158243,80855
CT,Dhamtari,799199,27239,545,26690,1501,509782,224591
CT,Durg,3343079,96880,1798,95028,5020,1012391,525445
CT,Gariaband,597653,19701,194,19506,2096,293987,99137
CT,Gaurela Pendra Marwahi,597653,12011,146,11864,273,189474,79788
CT,Janjgir Champa,1620632,57636,838,56766,4016,896087,317605
CT,Jashpur,852043,27093,212,26867,2542,435884,182747
CT,Kabeerdham,584667,22771,267,22503,2829,402362,173494
CT,Kondagaon,578326,13139,99,13036,1607,317695,100468
CT,Korba,1206563,54847,580,54228,10034,650457,287588
CT,Koriya,659039,26980,177,26798,2689,375503,128177
CT,Mahasamund,1032275,31365,365,31000,2183,738333,428365
CT,Mungeli,701707,23921,167,23753,2922,282508,109857
CT,Narayanpur,140206,4019,14,4005,804,53032,19468
CT,Raigarh,1493627,62590,978,61597,5084,1074306,967326
